invoice_id,customer_id,amount,currency,vendor_name,po_number,invoice_date
INV-CUST-1000-0000,CUST-1000,4821.55,USD,Global Logistics,PO-27582,2024-03-23
INV-CUST-1000-0001,CUST-1000,6589.59,USD,Office Supply Co,PO-47547,2024-03-19
INV-CUST-1000-0002,CUST-1000,3325.04,USD,Compute Cloud,PO-32042,2024-03-19
INV-CUST-1000-0003,CUST-1000,3528.79,USD,Global Logistics,PO-62531,2024-01-12
INV-CUST-1000-0004,CUST-1000,4996.34,USD,Compute Cloud,PO-13406,2024-05-10
INV-CUST-1000-0005,CUST-1000,9269.5,USD,Global Logistics,PO-47335,2024-02-11
INV-CUST-1000-0006,CUST-1000,1872.1,USD,Enterprise SaaS,PO-31058,2024-02-09
INV-CUST-1000-0007,CUST-1000,6738.33,USD,Steel Fab Inc,PO-28549,2024-03-26
INV-CUST-1000-0008,CUST-1000,6617.79,USD,Enterprise SaaS,PO-33827,2024-01-30
INV-CUST-1000-0009,CUST-1000,9852.93,USD,Enterprise SaaS,PO-79825,2024-04-04
INV-CUST-1000-0010,CUST-1000,7285.97,USD,Compute Cloud,PO-34879,2024-01-12
INV-CUST-1000-0011,CUST-1000,5428.56,USD,Compute Cloud,PO-77993,2024-04-10
INV-CUST-1000-0012,CUST-1000,9602.81,USD,Compute Cloud,PO-24397,2024-06-12
INV-CUST-1000-0013,CUST-1000,8948.64,USD,Office Supply Co,PO-88902,2024-06-27
INV-CUST-1000-0014,CUST-1000,8165.08,USD,Global Logistics,PO-68923,2024-02-04
INV-CUST-1000-0015,CUST-1000,9794.6,USD,Enterprise SaaS,PO-17870,2024-06-07
INV-CUST-1000-0016,CUST-1000,4783.68,USD,Enterprise SaaS,PO-79654,2024-04-18
INV-CUST-1000-0017,CUST-1000,7365.46,USD,Office Supply Co,PO-21523,2024-01-16
INV-CUST-1000-0018,CUST-1000,8513.38,USD,Office Supply Co,PO-47462,2024-02-21
INV-CUST-1000-0019,CUST-1000,5067.42,USD,Compute Cloud,PO-49823,2024-05-17
INV-CUST-1000-0020,CUST-1000,9947.42,USD,Compute Cloud,PO-92681,2024-06-28
INV-CUST-1000-0021,CUST-1000,3312.93,USD,Enterprise SaaS,PO-32672,2024-04-28
INV-CUST-1000-0022,CUST-1000,4576.64,USD,Steel Fab Inc,PO-41461,2024-06-23
