payment_id,customer_id,amount,currency,sender_name,trace_id,remittance_raw,payment_date
PAY-INV-CUST-1000-0000-S0,CUST-1000,2874.26,USD,Global Logistics,TR-121740,Partial payment 1/3 for INV-CUST-1000-0000,2024-04-16
PAY-INV-CUST-1000-0000-S1,CUST-1000,1714.57,USD,Global Logistics,TR-229318,Partial payment 2/3 for INV-CUST-1000-0000,2024-04-11
PAY-INV-CUST-1000-0000-S2,CUST-1000,232.72,USD,Global Logistics,TR-903980,Partial payment 3/3 for INV-CUST-1000-0000,2024-04-02
PAY-INV-CUST-1000-0001,CUST-1000,6589.59,USD,Office Supply Co,TR-415729,Full payment for INV-CUST-1000-0001,2024-04-03
PAY-INV-CUST-1000-0002-S0,CUST-1000,374.86,USD,Compute Cloud,TR-943776,Partial payment 1/3 for INV-CUST-1000-0002,2024-03-29
PAY-INV-CUST-1000-0002-S1,CUST-1000,2082.66,USD,Compute Cloud,TR-945880,Partial payment 2/3 for INV-CUST-1000-0002,2024-04-09
PAY-INV-CUST-1000-0002-S2,CUST-1000,867.52,USD,Compute Cloud,TR-509364,Partial payment 3/3 for INV-CUST-1000-0002,2024-04-03
PAY-INV-CUST-1000-0003,CUST-1000,3528.79,USD,Global Logistics,TR-860933,Full payment for INV-CUST-1000-0003,2024-01-22
PAY-INV-CUST-1000-0004,CUST-1000,4996.34,USD,Compute Cloud,TR-246186,Full payment for INV-CUST-1000-0004,2024-05-15
PAY-INV-CUST-1000-0005,CUST-1000,9269.5,USD,Global Logistics,TR-651645,Full payment for INV-CUST-1000-0005,2024-02-26
PAY-INV-CUST-1000-0006-S0,CUST-1000,261.54,USD,Enterprise SaaS,TR-589744,Partial payment 1/3 for INV-CUST-1000-0006,2024-03-01
PAY-INV-CUST-1000-0006-S1,CUST-1000,380.96,USD,Enterprise SaaS,TR-752988,Partial payment 2/3 for INV-CUST-1000-0006,2024-03-09
PAY-INV-CUST-1000-0006-S2,CUST-1000,1229.6,USD,Enterprise SaaS,TR-122063,Partial payment 3/3 for INV-CUST-1000-0006,2024-02-18
PAY-INV-CUST-1000-0007,CUST-1000,6738.33,USD,Steel Fab Inc,TR-957484,Full payment for INV-CUST-1000-0007,2024-04-10
PAY-ERR-CUST-1000-14,CUST-1000,400.09,USD,Unknown Entity,TR-ERR-228638,Zyxel maintenance fee,2024-02-15
PAY-INV-CUST-1000-0009,CUST-1000,9852.93,USD,Enterprise SaaS,TR-194656,Full payment for INV-CUST-1000-0009,2024-04-18
PAY-INV-CUST-1000-0011-S0,CUST-1000,4902.48,USD,Compute Cloud,TR-784733,Partial payment 1/2 for INV-CUST-1000-0011,2024-04-24
PAY-INV-CUST-1000-0011-S1,CUST-1000,526.08,USD,Compute Cloud,TR-577754,Partial payment 2/2 for INV-CUST-1000-0011,2024-04-27
PAY-INV-CUST-1000-0013,CUST-1000,8948.64,USD,Office Supply Co,TR-861723,Full payment for INV-CUST-1000-0013,2024-07-11
PAY-INV-CUST-1000-0014,CUST-1000,8165.08,USD,Global Logistics,TR-597655,Full payment for INV-CUST-1000-0014,2024-02-14
PAY-INV-CUST-1000-0015,CUST-1000,9794.6,USD,Enterprise SaaS,TR-550390,Full payment for INV-CUST-1000-0015,2024-06-22
PAY-INV-CUST-1000-0016-S0,CUST-1000,1724.15,USD,Enterprise SaaS,TR-473829,Partial payment 1/2 for INV-CUST-1000-0016,2024-05-14
PAY-INV-CUST-1000-0016-S1,CUST-1000,3059.53,USD,Enterprise SaaS,TR-185801,Partial payment 2/2 for INV-CUST-1000-0016,2024-05-04
PAY-INV-CUST-1000-0017,CUST-1000,7365.46,USD,Office Supply Co,TR-478262,Full payment for INV-CUST-1000-0017,2024-01-31
PAY-INV-CUST-1000-0018,CUST-1000,8513.38,USD,Office Supply Co,TR-666485,Full payment for INV-CUST-1000-0018,2024-03-07
PAY-INV-CUST-1000-0019-S0,CUST-1000,916.11,USD,Compute Cloud,TR-514198,Partial payment 1/4 for INV-CUST-1000-0019,2024-06-05
PAY-INV-CUST-1000-0019-S1,CUST-1000,351.79,USD,Compute Cloud,TR-873240,Partial payment 2/4 for INV-CUST-1000-0019,2024-06-15
